,index,Unnamed: 0,ra,dec,rec_arcsec,n_sersic,mueff_av,axrat,g_r,r_i,weight,is_red,inside_gama,CATAID,RA,DEC,Z,NQ
0,76420,200,213.9535,-1.6065399999999999,3.6076571015155796,0.6792999734996903,23.97976568410594,0.7153978159730268,0.30227721468474555,0.1391572445797803,2.8028747311259137,False,True,460875,213.9535,-1.6065399999999999,0.04821,4
1,79010,207,221.94925,-1.7400200000000001,3.9120275498202464,0.906754372859415,24.135074886189642,0.6456666825030046,0.3656668376875195,0.18353261054560585,1.3024021491269555,False,True,486889,221.94925,-1.7400200000000001,0.04252,4
2,6911,228,179.93178999999998,-0.77276,6.569543851104634,0.6430564199005451,24.54546532597337,0.5116302162085251,0.2402615651288133,0.0616535559902518,1.4763471413133669,False,True,40175,179.93178999999998,-0.77276,0.007559999999999999,4
3,12548,281,215.67096,-0.29372,4.936165625402257,0.6422218969029989,24.059544310208963,0.9125050740752692,0.3730088228390691,0.18642566891356646,1.7149374474011978,False,True,63401,215.67096,-0.29372,0.029560000000000003,4
4,13224,283,218.28278999999998,-0.40756,6.201882236850604,1.4272704772280964,24.179525963093337,0.4928727408275802,0.3748016377564933,0.16632800152711175,1.4220010056183283,False,True,64145,218.28278999999998,-0.40756,0.03252,4
5,86137,287,219.48225,-1.2042,3.1588007630364023,0.5958428488333539,24.14111785178105,0.6724862169804384,0.4357260304482133,0.2484846969326891,1.5544189730456548,True,True,512664,219.48225,-1.2042,0.11914000000000001,4
6,9428,293,220.19275,-0.7347199999999999,3.1467277584979194,1.1010736993403258,24.169207251866933,0.8038030465896093,0.3221507023213095,0.21730329018963546,1.587169800412029,False,True,49250,220.19275,-0.7347199999999999,0.08238,4
7,91902,296,222.11562,-0.95744,4.547950764738356,1.2751874266323744,24.05200549858756,0.8110180936372648,0.4671613921058954,0.1980934199153924,1.8213404700821665,False,True,545980,222.11562,-0.95744,0.0346,4
8,97372,300,223.15533,-0.52956,4.328759741322109,1.1465594071679173,24.20652936161725,0.6990920450699531,0.39634771234454974,0.2307856326297625,1.317939861044149,False,True,570328,223.15533,-0.52956,0.06951,4
9,14357,301,222.99212000000003,-0.24023000000000003,4.057941887653204,1.5717815024532813,24.21023274395147,1.0,0.3659743609587427,0.18212544184305726,1.3252008800964121,False,True,65433,222.99212000000003,-0.24023000000000003,0.0439,4
10,1415,405,213.04904,0.7518100000000001,2.7893775462637342,0.9540562032804364,23.91826688297511,0.8676181233862734,0.33338930045426185,0.19225910695202608,8.512641099979128,False,True,14861,213.04904,0.7518100000000001,0.053070000000000006,4
11,17072,411,218.21217000000001,0.18159,3.1445246212244364,0.6378666982055531,23.98753592682669,0.979764307265576,0.5245473865250654,0.28646895536072503,2.7698587208346863,True,True,78727,218.21217000000001,0.18159,0.12192,4
12,57549,421,220.72408,1.36818,3.3576087971860424,1.132818054316663,24.08916636342543,0.6642649560807452,0.35506785888698794,0.1550918921683031,1.4543554817525195,False,True,298628,220.72408,1.36818,0.03737,4
13,106480,422,220.3865,0.32403000000000004,4.613001931273637,0.6400853271352804,24.007079618387042,0.7480400667077571,0.2756770911013844,0.10164083133933786,2.557696734812285,False,True,619553,220.3865,0.32403000000000004,0.02903,4
14,3672,433,223.3955,0.7995,4.644764532608641,1.0550037399072736,24.16489135573709,0.8708242901692632,0.41334831315213305,0.2541586930288275,1.4737854816810017,False,True,17430,223.3955,0.7995,0.06898,4
